,geo_value,time_value,hospital admissions
185,6001,2021-01-07,3.2398723
186,6003,2021-01-07,
187,6005,2021-01-07,2.4948232
188,6007,2021-01-07,6.9835778
189,6009,2021-01-07,2.4679475
190,6011,2021-01-07,7.2893059
191,6013,2021-01-07,2.8761527
192,6015,2021-01-07,0.0
193,6017,2021-01-07,1.8512005
194,6019,2021-01-07,6.3798576
195,6021,2021-01-07,5.0509897
196,6023,2021-01-07,1.2700577
197,6025,2021-01-07,6.2605548
198,6027,2021-01-07,3.166511
199,6029,2021-01-07,6.2128202
200,6031,2021-01-07,4.6779511
201,6033,2021-01-07,2.880229
202,6035,2021-01-07,16.1818459
203,6037,2021-01-07,8.2986929
204,6039,2021-01-07,2.2638222
205,6041,2021-01-07,1.6099269
206,6043,2021-01-07,0.8325008
207,6045,2021-01-07,1.8259474
208,6047,2021-01-07,2.8136389
209,6049,2021-01-07,11.411617
210,6051,2021-01-07,1.9658338
211,6053,2021-01-07,4.9729109
212,6055,2021-01-07,1.786174
213,6057,2021-01-07,0.7171111
214,6059,2021-01-07,8.4716713
215,6061,2021-01-07,6.5233191
216,6063,2021-01-07,0.7531879
217,6065,2021-01-07,6.1638001
218,6067,2021-01-07,3.9490483
219,6069,2021-01-07,2.8992941
220,6071,2021-01-07,7.8046076
221,6073,2021-01-07,4.6598384
222,6075,2021-01-07,1.7144057
223,6077,2021-01-07,7.310582
224,6079,2021-01-07,1.9233271
225,6081,2021-01-07,2.4302225
226,6083,2021-01-07,5.7494117
227,6085,2021-01-07,4.3221832
228,6087,2021-01-07,4.0752061
229,6089,2021-01-07,11.3310921
230,6091,2021-01-07,
231,6093,2021-01-07,0.6606874
232,6095,2021-01-07,5.2740172
233,6097,2021-01-07,2.1873969
234,6099,2021-01-07,5.4797125
235,6101,2021-01-07,0.0
236,6103,2021-01-07,2.2150455
237,6105,2021-01-07,0.0
238,6107,2021-01-07,5.791341
239,6109,2021-01-07,2.8825618
240,6111,2021-01-07,5.5350782
241,6113,2021-01-07,1.4953553
242,6115,2021-01-07,8.5543199
1827,36001,2021-01-07,8.1860087
1828,36003,2021-01-07,1.8802353
1829,36005,2021-01-07,3.945761
1830,36007,2021-01-07,5.8826191
1831,36009,2021-01-07,8.6622314
1832,36011,2021-01-07,4.8853539
1833,36013,2021-01-07,3.4004969
1834,36015,2021-01-07,3.8038987
1835,36017,2021-01-07,1.2228302
1836,36019,2021-01-07,4.2976402
1837,36021,2021-01-07,5.2790962
1838,36023,2021-01-07,3.3312034
1839,36025,2021-01-07,1.3005339
1840,36027,2021-01-07,5.2117556
1841,36029,2021-01-07,13.7368478
1842,36031,2021-01-07,3.0979294
1843,36033,2021-01-07,1.4295721
1844,36035,2021-01-07,22.9926099
1845,36037,2021-01-07,8.0208944
1846,36039,2021-01-07,
1847,36041,2021-01-07,
1848,36043,2021-01-07,2.1096305
1849,36045,2021-01-07,4.7577197
1850,36047,2021-01-07,2.4307164
1851,36049,2021-01-07,7.6373773
1852,36051,2021-01-07,2.2894507
1853,36053,2021-01-07,5.270135
1854,36055,2021-01-07,7.9632879
1855,36057,2021-01-07,6.9728929
1856,36059,2021-01-07,4.4823433
1857,36061,2021-01-07,8.1886415
1858,36063,2021-01-07,2.6049307
1859,36065,2021-01-07,9.237022
1860,36067,2021-01-07,7.2173011
1861,36069,2021-01-07,8.8238691
1862,36071,2021-01-07,4.4129023
1863,36073,2021-01-07,5.0027515
1864,36075,2021-01-07,1.2278647
1865,36077,2021-01-07,4.3805533
1866,36079,2021-01-07,3.9146093
1867,36081,2021-01-07,3.8252338
1868,36083,2021-01-07,5.1501867
1869,36085,2021-01-07,5.3196461
1870,36087,2021-01-07,3.8536067
1871,36089,2021-01-07,3.9984273
1872,36091,2021-01-07,1.8609429
1873,36093,2021-01-07,5.6091645
1874,36095,2021-01-07,2.2943779
1875,36097,2021-01-07,0.0
1876,36099,2021-01-07,
1877,36101,2021-01-07,9.658934
1878,36103,2021-01-07,5.7849336
1879,36105,2021-01-07,0.9423046
1880,36107,2021-01-07,
1881,36109,2021-01-07,2.1204231
1882,36111,2021-01-07,2.0096269
1883,36113,2021-01-07,4.7054395
1884,36115,2021-01-07,
1885,36117,2021-01-07,4.1575188
1886,36119,2021-01-07,3.9937201
1887,36121,2021-01-07,1.0859532
1888,36123,2021-01-07,1.1530036
3404,6001,2021-01-08,3.2398723
3405,6003,2021-01-08,
3406,6005,2021-01-08,2.1384199
3407,6007,2021-01-08,6.5806791
3408,6009,2021-01-08,2.4679475
3409,6011,2021-01-08,7.2893059
3410,6013,2021-01-08,2.9877276
3411,6015,2021-01-08,0.0
3412,6017,2021-01-08,1.7031045
3413,6019,2021-01-08,6.7794907
3414,6021,2021-01-08,8.0815836
3415,6023,2021-01-08,1.5875721
3416,6025,2021-01-08,6.3398023
3417,6027,2021-01-08,3.166511
3418,6029,2021-01-08,6.2128202
3419,6031,2021-01-08,5.0521872
3420,6033,2021-01-08,3.1017851
3421,6035,2021-01-08,13.8021627
3422,6037,2021-01-08,8.3015665
3423,6039,2021-01-08,1.9016107
3424,6041,2021-01-08,1.4988975
3425,6043,2021-01-08,0.8325008
3426,6045,2021-01-08,1.9919426
3427,6047,2021-01-08,2.8136389
3428,6049,2021-01-08,11.411617
3429,6051,2021-01-08,3.9316676
3430,6053,2021-01-08,4.7408417
3431,6055,2021-01-08,1.9963121
3432,6057,2021-01-08,0.5736889
3433,6059,2021-01-08,8.5122703
3434,6061,2021-01-08,6.1333381
3435,6063,2021-01-08,0.7531879
3436,6065,2021-01-08,6.3876252
3437,6067,2021-01-08,3.7657978
3438,6069,2021-01-08,3.1223168
3439,6071,2021-01-08,7.8763891
3440,6073,2021-01-08,4.7155679
3441,6075,2021-01-08,1.7473751
3442,6077,2021-01-08,7.1431641
3443,6079,2021-01-08,1.9233271
3444,6081,2021-01-08,2.279511
3445,6083,2021-01-08,5.9100098
3446,6085,2021-01-08,4.3072016
3447,6087,2021-01-08,3.9693566
3448,6089,2021-01-08,11.5704814
3449,6091,2021-01-08,
3450,6093,2021-01-08,0.6606874
3451,6095,2021-01-08,5.050271
3452,6097,2021-01-08,2.2457275
3453,6099,2021-01-08,5.2719509
3454,6101,2021-01-08,0.0
3455,6103,2021-01-08,2.2150455
3456,6105,2021-01-08,0.0
3457,6107,2021-01-08,6.035187
3458,6109,2021-01-08,2.3584597
3459,6111,2021-01-08,5.5350782
3460,6113,2021-01-08,1.2352935
3461,6115,2021-01-08,8.5543199
5046,36001,2021-01-08,9.3151133
5047,36003,2021-01-08,2.1936078
5048,36005,2021-01-08,4.1904593
5049,36007,2021-01-08,5.9580373
5050,36009,2021-01-08,7.5323751
5051,36011,2021-01-08,5.6369468
5052,36013,2021-01-08,3.8538965
5053,36015,2021-01-08,3.9768031
5054,36017,2021-01-08,0.9171227
5055,36019,2021-01-08,4.2976402
5056,36021,2021-01-08,5.7590141
5057,36023,2021-01-08,4.5425501
5058,36025,2021-01-08,0.6502669
5059,36027,2021-01-08,5.7962515
5060,36029,2021-01-08,13.861445
5061,36031,2021-01-08,1.9362059
5062,36033,2021-01-08,1.1436577
5063,36035,2021-01-08,23.2631112
5064,36037,2021-01-08,7.7702415
5065,36039,2021-01-08,
5066,36041,2021-01-08,
5067,36043,2021-01-08,2.1096305
5068,36045,2021-01-08,4.7577197
5069,36047,2021-01-08,2.5601296
5070,36049,2021-01-08,7.6373773
5071,36051,2021-01-08,2.7473408
5072,36053,2021-01-08,5.0674375
5073,36055,2021-01-08,8.2910746
5074,36057,2021-01-08,6.9728929
5075,36059,2021-01-08,4.8206333
5076,36061,2021-01-08,8.1797793
5077,36063,2021-01-08,3.6331928
5078,36065,2021-01-08,8.9856744
5079,36067,2021-01-08,6.7195562
5080,36069,2021-01-08,8.304818
5081,36071,2021-01-08,4.4870687
5082,36073,2021-01-08,5.0027515
5083,36075,2021-01-08,1.841797
5084,36077,2021-01-08,4.1371892
5085,36079,2021-01-08,3.6246383
5086,36081,2021-01-08,4.0883791
5087,36083,2021-01-08,4.6984159
5088,36085,2021-01-08,5.4999731
5089,36087,2021-01-08,4.0287707
5090,36089,2021-01-08,3.9984273
5091,36091,2021-01-08,1.73688
5092,36093,2021-01-08,6.1608855
5093,36095,2021-01-08,1.8355023
5094,36097,2021-01-08,0.0
5095,36099,2021-01-08,
5096,36101,2021-01-08,9.9607757
5097,36103,2021-01-08,5.8430736
5098,36105,2021-01-08,0.3769218
5099,36107,2021-01-08,
5100,36109,2021-01-08,2.1204231
