,geo_value,time_value,children cant covid
2,6000,2021-05-20,6.1597723
3,6037,2021-05-20,10.3400886
21,36000,2021-05-20,8.5535352
37,6000,2021-05-21,6.7370976
38,6001,2021-05-21,3.7977084
39,6037,2021-05-21,13.8925477
40,6065,2021-05-21,6.4524371
41,6073,2021-05-21,5.2853234
69,36000,2021-05-21,8.0445573
91,6000,2021-05-22,5.6666813
92,6001,2021-05-22,2.856977
93,6013,2021-05-22,6.2606763
94,6037,2021-05-22,13.0142685
95,6059,2021-05-22,14.7413329
96,6065,2021-05-22,7.2833287
97,6071,2021-05-22,12.095392
98,6073,2021-05-22,11.1011781
99,6085,2021-05-22,4.1385406
139,36000,2021-05-22,7.9530969
140,36029,2021-05-22,9.6647549
141,36081,2021-05-22,18.7045566
174,6000,2021-05-23,7.3431034
175,6001,2021-05-23,3.1416043
176,6013,2021-05-23,7.2640815
177,6019,2021-05-23,4.8174725
178,6037,2021-05-23,12.7645541
179,6059,2021-05-23,13.4791638
180,6065,2021-05-23,10.5174135
181,6067,2021-05-23,5.3588194
182,6071,2021-05-23,11.5135436
183,6073,2021-05-23,8.9420441
184,6075,2021-05-23,9.1816144
185,6085,2021-05-23,7.3695175
239,36000,2021-05-23,7.2667973
240,36005,2021-05-23,13.85496
241,36029,2021-05-23,8.0194316
242,36047,2021-05-23,3.6332388
243,36055,2021-05-23,4.0354141
244,36081,2021-05-23,16.2954786
245,36103,2021-05-23,11.466372
246,36119,2021-05-23,11.4855277
291,6000,2021-05-24,6.4572754
292,6001,2021-05-24,2.5940024
293,6013,2021-05-24,7.4729246
294,6019,2021-05-24,5.6167057
295,6029,2021-05-24,10.2958108
296,6037,2021-05-24,12.4140371
297,6059,2021-05-24,13.2524469
298,6065,2021-05-24,9.599438
299,6067,2021-05-24,4.5043468
300,6071,2021-05-24,10.0250911
301,6073,2021-05-24,8.100475
302,6075,2021-05-24,8.0651377
303,6077,2021-05-24,7.8566638
304,6081,2021-05-24,3.5538293
305,6085,2021-05-24,7.1940567
306,6097,2021-05-24,3.6733245
307,6111,2021-05-24,8.8416673
374,36000,2021-05-24,7.3990045
375,36005,2021-05-24,15.4632559
376,36029,2021-05-24,7.0906198
377,36047,2021-05-24,5.548063
378,36055,2021-05-24,3.8190475
379,36061,2021-05-24,6.4399343
380,36067,2021-05-24,3.3328055
